id,name,url,descr,logo,mood
70,Chillout Lounge,http://sc-tcl.1.fm:8010,- Switzerland -,https://www.radio.net/images/broadcasts/0e/3a/1369/2/c300.png,mellow
71,ChillTrax,http://server1.chilltrax.com:9000/,Ambient Chill,https://www.chilltrax.com/images/specialty/default-album-cover.png,mellow
72,Lounge-Radio,http://nl1.streamhosting.ch/,Switzerland Chill,https://lounge-radio.com/images/lounge-radio.com.png,mellow
73,Chill UK,http://media-ice.musicradio.com/SmoothChill,- Chill Tunes from a Creepy lady in the UK,https://www.radio.net/images/broadcasts/21/c5/3343/c300.png,mellow
74,Deep Vibes,http://www.deepvibes.co.uk:9106/,- United Kingdom -E53,https://www.radio.net/images/broadcasts/f2/4a/3303/c300.png,mellow
75,Deep House Lounge,http://198.15.94.34:8006/?AppName=qLty,- Philadelphia PA USA -,https://www.radio.net/images/broadcasts/0d/90/22172/2/c300.png,mellow
76,ZenFM,http://lb.zenfm.be/zenfm.mp3,-Chill lounge and cool grooves,https://www.radio.net/images/broadcasts/50/34/4695/c300.png,mellow
77,Hi On Line - Lounge,http://mediaserv33.live-streams.nl:8036/live,- Lounge - Netherlands -,https://www.radio.net/images/broadcasts/2b/f7/33546/c100.png,mellow
78,Strictly House,http://247house.fm:9500/stream,- 24/7 House Music - Wingate  UK - ,https://cdn-radiotime-logos.tunein.com/s293431d.png,mellow
79,FLUX,http://streams.fluxfm.de/live/mp3-320/vtuner/,- Berlin Germany-,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
80,FluxFM - ChillHop,http://streams.fluxfm.de/Chillhop/mp3-320/streams.fluxfm.de/,"Chill Out, Laidback",https://www.radio.net/images/broadcasts/b7/4f/117103/1/c100.png,flux
81,FluxFM - Clubsandwich,http://streams.fluxfm.de/clubsandwich/mp3-320/audio/,- Electronica Germany -,https://www.radio.net/images/broadcasts/8e/37/37324/3/c100.png,flux
82,FluxFM - Hard Rock FM,http://streams.fluxfm.de/hardrock/mp3-320/streams.fluxfm.de/,- Hard Rock - Germany -,https://www.radio.net/images/broadcasts/0b/e4/111899/3/c100.png,flux
83,FluxFM - Jazzradio,http://streams.fluxfm.de/jazzschwarz/mp3-320/vtuner/,- Schwarzenstein  Germany - ,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
84,Flux -  60’s,http://streams.fluxfm.de/60er/mp3-320/streams.fluxfm.de/,- Germany -,https://www.radio.net/images/broadcasts/b4/3d/117099/1/c100.png,flux
85,Flux - 80’s,http://streams.fluxfm.de/80er/mp3-320/streams.fluxfm.de/,- Germany -,https://www.radio.net/images/broadcasts/60/c2/105266/2/c100.png,flux
86,Flux FM Lounge,http://streams.fluxfm.de/lounge/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/78/38/39371/2/c300.png,flux
87,Flux FM Dub Radio,http://195.154.250.208:8000/stream/12/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
88,Flux -  70’s,http://streams.fluxfm.de/70er/mp3-320/vtuner/,nacht yacht rach yeht,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
89,Flux Funk,http://streams.fluxfm.de/event01/mp3-320/vtuner/,funkin flux,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
90,Flux Beach House,http://streams.fluxfm.de/bbeachhouse/mp3-320/vtuner/,faux paws,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
91,Flux -Bremen,http://fluxfm.hoerradar.de/fluxfm-berlin,add a description later,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
92,Flux -Chillhop,http://streams.fluxfm.de/Chillhop/mp3-320/vtuner/,sorta lounge,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
93,Flux-Electroflux,http://fluxfm.hoerradar.de/flux-electro-mp3-hq,predicable loop tunez,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
94,Flux-Forward,http://fluxfm.hoerradar.de/flux-forward-mp3-hq,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
95,Flux-Hamburg,http://streams.fluxfm.de/flux-hamburg/mp3-320/streams.fluxfm.de/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
96,FluxFM - Hot R’n’B,http://streams.fluxfm.de/rnb/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
97,FluxFM – Kompensator,http://streams.fluxfm.de/fluxkompensator/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
98,FluxFM – neoFM,http://streams.fluxfm.de/neofm/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
99,FluxFM - Xjazz,http://streams.fluxfm.de/xjazz/mp3-128/vtuner,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
100,FluxFM - Passport Approved,http://streams.fluxfm.de/passport/mp3-320/,the british never invaded germany for a reason,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
101,Flux-Yoga,http://streams.fluxfm.de/yogasounds/mp3-320/vtuner,music whales sleep to,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,flux
